KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
51363137,0,,,9,5,4,0,0,0,9,5,4,0,0,0,9,5,4,9,5,4,9,5,4,7,3,4,1,1,0,0,0,0,0,0,0,7,7,5,2,0,0,0,0,0,2,2,0,0,7,0,5,2
51363146,2,51363136,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363148,0,,,15,5,10,3,0,3,12,5,7,4,2,2,12,5,7,12,5,7,8,3,5,6,2,4,2,0,2,0,0,0,0,0,0,8,8,4,3,0,0,1,0,0,4,4,0,1,6,0,4,2
51363157,0,,,50,21,29,0,0,0,50,21,29,9,3,6,50,21,29,49,20,29,41,18,23,34,16,18,17,8,9,1,0,1,0,0,0,27,27,12,8,6,1,0,0,0,15,12,3,0,27,0,12,8
51363158,2,51363167,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363167,1,,51363158,15,8,7,0,0,0,23,13,10,5,5,0,23,13,10,23,13,10,18,8,10,15,8,7,8,5,3,1,1,0,0,0,0,9,9,5,6,2,0,0,0,0,8,7,1,0,10,1,2,5
51363168,1,,51363178,35,16,19,5,1,4,34,16,18,9,5,4,34,16,18,34,16,18,25,11,14,21,10,11,4,3,1,0,0,0,0,0,0,17,17,9,7,1,0,0,1,1,10,7,3,2,18,0,8,5
51363178,2,51363168,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363206,0,,,14,9,5,0,0,0,14,9,5,8,6,2,12,7,5,12,7,5,6,3,3,3,1,2,1,0,1,0,0,0,0,0,0,7,7,1,5,1,0,0,0,0,6,6,0,0,4,0,1,2
51363207,0,,,51,25,26,5,2,3,46,23,23,19,9,10,45,22,23,44,22,22,27,14,13,18,11,7,4,2,2,0,0,0,0,0,0,21,21,4,9,4,3,1,0,0,17,17,0,1,16,0,3,8
51363208,0,,,86,42,44,10,7,3,76,35,41,44,23,21,73,33,40,73,33,40,32,12,20,23,7,16,11,4,7,0,0,0,0,0,0,37,37,8,19,4,4,1,0,1,29,28,1,2,24,0,6,7
51363209,0,,,14,6,8,0,0,0,14,6,8,5,2,3,14,6,8,14,6,8,9,4,5,6,3,3,1,1,0,0,0,0,0,0,0,8,8,2,6,0,0,0,0,0,6,6,0,0,6,0,2,3
51363216,1,,51363226,35,17,18,1,1,0,37,18,19,12,7,5,36,18,18,36,18,18,25,11,14,11,4,7,6,1,5,1,0,1,1,0,1,18,18,6,12,0,2,0,0,0,14,13,1,0,16,0,5,8
51363217,0,,,47,24,23,4,3,1,43,21,22,19,9,10,42,21,21,42,21,21,24,12,12,15,7,8,3,1,2,0,0,0,0,0,0,27,27,15,6,4,2,0,0,0,12,11,1,1,19,1,12,4
51363218,0,,,268,110,158,4,2,2,264,108,156,47,26,21,263,108,155,263,108,155,217,82,135,175,54,121,111,29,82,24,5,19,3,0,3,50,48,27,13,4,3,0,1,0,21,17,4,1,23,7,10,7
51363226,2,51363216,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363228,1,,51363229,143,65,78,24,13,11,125,54,71,74,30,44,122,54,68,122,54,68,51,24,27,26,8,18,7,3,4,0,0,0,1,0,1,64,64,18,32,7,5,4,1,0,48,45,3,6,37,0,12,16
